CNPJ,RazaoSocial,Trimestre,Ano,ValorDespesas,Status
411752,REG_ANS_411752,1,2025,1659860286,00,OK
333689,REG_ANS_333689,2,2025,3327997873,66,OK
333689,REG_ANS_333689,1,2025,1824179579,82,OK
411752,REG_ANS_411752,2,2025,1201070893,86,OK
378216,REG_ANS_378216,3,2025,405694225,94,OK
378216,REG_ANS_378216,2,2025,451329256,88,OK
423351,REG_ANS_423351,1,2025,139484301,18,OK
423351,REG_ANS_423351,2,2025,149854612,62,OK
423351,REG_ANS_423351,3,2025,145751188,16,OK
325465,REG_ANS_325465,1,2025,204185289,60,OK
423645,REG_ANS_423645,1,2025,40101662,28,OK
423645,REG_ANS_423645,2,2025,48577824,34,OK
325465,REG_ANS_325465,3,2025,259826598,60,OK
423645,REG_ANS_423645,3,2025,107355565,96,OK
325465,REG_ANS_325465,2,2025,233628937,98,OK
417831,REG_ANS_417831,3,2025,44794150,92,OK
417831,REG_ANS_417831,2,2025,52802073,34,OK
417831,REG_ANS_417831,1,2025,38799247,80,OK
411256,REG_ANS_411256,1,2025,2484197937,52,OK
411256,REG_ANS_411256,3,2025,2609479752,82,OK
411256,REG_ANS_411256,2,2025,2562632785,72,OK
419753,REG_ANS_419753,2,2025,97811649,76,OK
419753,REG_ANS_419753,3,2025,98848948,70,OK
419753,REG_ANS_419753,1,2025,123708654,90,OK
316873,REG_ANS_316873,3,2025,826089263,68,OK
315044,REG_ANS_315044,3,2025,1408434547,68,OK
315044,REG_ANS_315044,2,2025,1281791262,32,OK
315044,REG_ANS_315044,1,2025,1361680602,14,OK
423939,REG_ANS_423939,2,2025,16,00,OK
423939,REG_ANS_423939,1,2025,16,00,OK
316873,REG_ANS_316873,1,2025,811961657,86,OK
409286,REG_ANS_409286,2,2025,7770554,16,OK
316873,REG_ANS_316873,2,2025,947979591,00,OK
409286,REG_ANS_409286,3,2025,7438145,20,OK
423939,REG_ANS_423939,3,2025,16,00,OK
347825,REG_ANS_347825,1,2025,102527211,40,OK
418218,REG_ANS_418218,3,2025,61553496,08,OK
418218,REG_ANS_418218,2,2025,81975647,36,OK
347825,REG_ANS_347825,3,2025,82092233,52,OK
418218,REG_ANS_418218,1,2025,60659258,82,OK
